status,status_type,status_description,action
100,"Informational","Continue",allowed
101,"Informational","Switching Protocols",allowed
200,"Successful","OK",allowed
201,"Successful","Created",allowed
202,"Successful","Accepted",allowed
203,"Successful","Non-Authoritative Information",allowed
204,"Successful","No Content",allowed
205,"Successful","Reset Content",allowed
206,"Successful","Partial Content",allowed
300,"Redirection","Multiple Choices",allowed
301,"Redirection","Moved Permanently",allowed
302,"Redirection","Moved Temporarily",allowed
303,"Redirection","See Other",allowed
304,"Redirection","Not Modified",allowed
305,"Redirection","Use Proxy",allowed
307,"Redirection","Temporary Redirect",allowed
400,"Client Error","Bad Request",blocked
401,"Client Error","Unauthorized",blocked
402,"Client Error","Payment Required",blocked
403,"Client Error","Forbidden",blocked
404,"Client Error","Not Found",blocked
405,"Client Error","Method Not Allowed",blocked
406,"Client Error","Not Acceptable",blocked
407,"Client Error","Proxy Authentication Required",blocked
408,"Client Error","Request Time-out",blocked
409,"Client Error","Conflict",blocked
410,"Client Error","Gone",blocked
411,"Client Error","Length Required",blocked
412,"Client Error","Precondition Failed",blocked
413,"Client Error","Request Entity Too Large",blocked
414,"Client Error","Request-URI Too Long",blocked
415,"Client Error","Unsupported Media Type",blocked
416,"Client Error","Requested range unsatisfiable",blocked
417,"Client Error","Expectation failed",blocked
500,"Server Error","Internal Server Error",blocked
501,"Server Error","Not Implemented",blocked
502,"Server Error","Bad Gateway",blocked
503,"Server Error","Service Unavailable",blocked
504,"Server Error","Gateway Time-out",blocked
505,"Server Error","HTTP Version not supported",blocked
